seasonID;HT_pointsHLast3g;AT_pointsALast3g;HT_pointsLast3g;AT_pointsLast3g;HT_poinstLast5g;AT_pointsLast5g;h2h_diff;HT_ShotsLast5g;AT_ShotsLast5g;HT_ShotsOTLast5g;AT_ShotsOTLast5g;HT_Goals_Last5g;AT_Goals_Last5g;HT_GoalsConLast5;AT_GoalsConLast5;HT_AvgPLast2S;AT_AvgPLast2S;HT_AvgPLastS;AT_AvgPLastS;HT_AvgGoalsHLastS;AT_AvgGoalsALastS;HomeTeam_Value;AwayTeam_Value;HT_AvgPointsCurrentS;AT_AvgPointsCurrentS;HomeWin
10;2.333333333;1;2.333333333;2;2.2;1.4;0;13.8;8.6;5.2;3.2;1.2;1.4;0.2;1.2;1.00877193;1.25;1.078947368;1.131578947;0.313657559;0.146603474;0.122759423;0.086231954;1.875;1.25;1
10;3;1.333333333;2.333333333;2;2;2;-0.75;20.2;15.2;7;6;2;2.4;0.8;1.2;1.828947368;2.197368421;1.973684211;2.052631579;0.769133088;0.274436846;1;0.7511869;2.125;2;1
10;0;2;0;1.333333333;0;1.4;0;11.8;16.2;2;6;0.6;2;3;2;1.105263158;1.394736842;1.026315789;1.078947368;0.051293294;0.100083459;0.104350354;0.201821529;0.125;1.375;1
10;1.333333333;1.333333333;1;1;1.4;0.8;0;14.6;12;6.2;2.8;1.8;1.2;1.2;1.4;1.223684211;1.00877193;1.210526316;1.210526316;0.387765531;-0.546543707;0.117779285;0.080127895;1.25;1;0
10;1.333333333;1;1.333333333;1.333333333;2;1.6;0;18.2;10.8;6.6;2.8;1.2;1.2;0.8;1;1.855263158;1.00877193;1.894736842;1.00877193;0.422856851;-0.054067221;0.427865517;0;2;1.375;1
10;3;1.666666667;2.333333333;2.333333333;2.6;2;0.75;14;15.8;6.4;6.4;2.4;2.4;0.8;1.2;1.881578947;1.486842105;1.921052632;1.605263158;0.905708623;0.693147181;0.61544424;0.479798469;2.444444444;2.222222222;1
10;1.333333333;1;2;2.333333333;1.2;1.4;-3;6.4;14.4;2.8;5;1.2;1.6;1.4;2;1.25;2.342105263;1.131578947;2.342105263;0.387765531;0.769133088;0.086231954;0.647999225;1.111111111;1.555555556;0
10;1.666666667;0;0.333333333;1;1.4;0.6;0;9.2;10;2.6;2.4;1;0.8;1;2.6;1.00877193;1.105263158;1.00877193;1.026315789;0.37578934;0.100083459;0;0.104350354;1.222222222;0.444444444;1
10;3;1;2;0.333333333;1.8;0.8;1.5;16.2;15.4;6.6;4.6;2.6;0.6;1.6;1.6;2.197368421;1.197368421;2.052631579;1.157894737;0.769133088;-0.171850257;0.7511869;0.040984401;1.777777778;0.888888889;1
10;1.333333333;1.333333333;1.333333333;3;0.8;2.6;0;16;18.2;5.2;6.8;1.8;2.4;2.2;0.8;1.394736842;1.828947368;1.078947368;1.973684211;0.233614851;0.581921545;0.201821529;1;1.222222222;2.222222222;1
10;0.666666667;1.333333333;0.333333333;2.333333333;0.2;2.6;0;10.4;14.8;3;5.4;0.6;1.6;1.6;0.2;1.144736842;1.00877193;1.105263158;1.078947368;0.100083459;0.191055237;0.07082647;0.122759423;0.888888889;2;0
10;1.333333333;0;0.666666667;0;1.6;0;0;12.8;11;4;2.2;1.4;0.4;1.2;2.6;1.263157895;1.00877193;1.289473684;1.00877193;0.521296923;-0.054067221;0.043891096;0.001065788;1.111111111;0.333333333;1
10;0;1.333333333;1.333333333;0.333333333;0.8;1.4;0;13.8;14.2;3.4;3.4;1.2;0.8;1.4;1.2;1.00877193;1.039473684;1.210526316;1.078947368;0.581921545;0.233614851;0.080127895;0.080127895;1;1.111111111;0
10;0.333333333;2;0.333333333;1.333333333;0.8;1.4;0;11;13.2;2.6;5.6;0.8;1.4;1.6;0.8;1.00877193;1.223684211;1.00877193;1.210526316;0.37578934;0;0.038271485;0.117779285;1;1.222222222;1
10;3;2;2;2;2.4;2;0.75;12.6;16.6;5;6.4;2.2;1;1.6;0.8;1.565789474;1.855263158;1.657894737;1.894736842;0.552068582;0.666478933;0.274876465;0.427865517;2;2.111111111;0
10;1;1.333333333;0.333333333;1.333333333;1;1.4;0;12.6;11.6;3;3.2;0.6;1;1.2;1.4;1.039473684;1.00877193;1.078947368;1.00877193;0.191055237;-0.054067221;0.080127895;0.038271485;1.1;1.2;1
10;3;1.333333333;2;1.333333333;2;1.6;0;15.6;12;5.2;4;2;1.2;1.2;1.2;1.828947368;1.263157895;1.973684211;1.289473684;0.769133088;0.100083459;1;0.043891096;2;1.3;0
10;0;2;0;2.333333333;0;2;0;11.6;12.2;2.8;4.4;0.4;1.6;2.6;1.2;1.00877193;1.565789474;1.00877193;1.657894737;0.37578934;0.146603474;0.001065788;0.274876465;0.3;1.9;0
10;2;1;1.333333333;1;2;1.2;0;16.2;8.6;6.2;3.8;2.4;1.4;1.4;1.6;1.486842105;1.25;1.605263158;1.131578947;0.552068582;0.146603474;0.479798469;0.086231954;2;1;1
10;0.333333333;1.333333333;0.333333333;0.666666667;0.8;1;-1.5;14.4;15.4;4.6;4;0.6;0.8;2.8;0.8;1.197368421;1.00877193;1.157894737;1.210526316;0.274436846;-0.546543707;0.040984401;0.080127895;0.8;1;1
