seasonID;HT_pointsHLast3g;AT_pointsALast3g;HT_pointsLast3g;AT_pointsLast3g;HT_poinstLast5g;AT_pointsLast5g;h2h_diff;HT_ShotsLast5g;AT_ShotsLast5g;HT_ShotsOTLast5g;AT_ShotsOTLast5g;HT_Goals_Last5g;AT_Goals_Last5g;HT_GoalsConLast5;AT_GoalsConLast5;HT_AvgPLast2S;AT_AvgPLast2S;HT_AvgPLastS;AT_AvgPLastS;HT_AvgGoalsHLastS;AT_AvgGoalsALastS;HomeTeam_Value;AwayTeam_Value;HT_AvgPointsCurrentS;AT_AvgPointsCurrentS;HomeWin
1;NA;NA;NA;NA;NA;NA;-2.5;NA;NA;NA;NA;NA;NA;NA;NA;1.236842105;2.355263158;1.289473684;2.447368421;1.368421053;2.157894737;0.319531395;1;2;3;0
1;NA;NA;NA;NA;NA;NA;-2;NA;NA;NA;NA;NA;NA;NA;NA;1.736842105;2.118421053;1.526315789;2.421052632;1.684210526;2.368421053;0.763466187;0.788012149;0;1;1
1;NA;NA;1.333333333;1;NA;NA;-1;NA;NA;NA;NA;NA;NA;NA;NA;1.092105263;1.736842105;1.052631579;1.526315789;1.210526316;1.315789474;0.214529226;0.763466187;1.333333333;1;0
1;NA;NA;1.333333333;0.333333333;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;0.894736842;1.289473684;1.210526316;1.026315789;1.157894737;0.842105263;0.099113618;0.135808591;1.333333333;0.333333333;0
1;NA;NA;2.333333333;2.333333333;NA;NA;1.5;NA;NA;NA;NA;NA;NA;NA;NA;1.210526316;1.276315789;1.342105263;1;1;1.210526316;0.129238207;0.138287981;2.333333333;2.333333333;1
1;NA;NA;1.333333333;0.333333333;NA;NA;0.6;NA;NA;NA;NA;NA;NA;NA;NA;1.855263158;1.552631579;1.947368421;1.368421053;1.947368421;1.473684211;0.962809149;0.256059009;1.333333333;0.333333333;1
1;NA;NA;0.666666667;1;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;2.118421053;0.894736842;2.421052632;0.798245614;2.578947368;0.947368421;0.788012149;0;0.666666667;1;1
1;NA;NA;2.333333333;1.333333333;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;2.355263158;1.210526316;2.447368421;1.263157895;3.052631579;1.210526316;1;0.069608876;2.333333333;1.333333333;1
1;NA;NA;3;1.666666667;NA;NA;1.5;NA;NA;NA;NA;NA;NA;NA;NA;1.710526316;0.894736842;1.815789474;0.798245614;1.842105263;0.947368421;0.857435071;0.004400917;3;1.666666667;1
1;NA;NA;1;0;NA;NA;-2;NA;NA;NA;NA;NA;NA;NA;NA;1.315789474;1.592105263;1.184210526;1.473684211;1.526315789;1.421052632;0.2760181;0.260273973;1;0;0
